0,1,2,3
Service Inspection Form,,,
0010,6 Year Service,,
0,eSIF,,
0.01,0. DMS: 0042-4218 V32,,
1,Prepare for service,,
1.01,Do a check of the warning log.                                                                   OK,,
1.02,Tightening torque.                                                                                      OK,,
2,Functional safety test,,
2.01,Tower: Do a test of the emergency stop function from the tower.             OK,,
2.02,To do a test of the emergency stop buttons in the tower: Do the test of,OK,
,the emergency stop buttons -610-02-S1 for the tower control cabinet.,,
2.03,Do the test of the emergency stop buttons -610-02-S6A for the tower,OK,
,top in the tower.,,
2.04,Do the test of the emergency stop buttons -610-02-S6B for the tower,OK,
,top in the tower.,,
2.05,Nacelle: Do a test to see if the emergency stop activates the brake.        OK,,
2.06,To do a test of the emergency stop buttons in the nacelle: Do the test of,OK,
,the emergency stop buttons -610-02-S3 for the yaw control cabinet.,,
2.07,Do the test of the emergency stop buttons -610-02-S4 for the main shaft,OK,
,(LSS).,,
2.08,Do the test of the emergency stop buttons -610-02-S5 for the nacelle,OK,
,control cabinet.,,
2.09,Do a check of the vibration sensor.                                                            OK,,
2.10,Hub and blades: To do a test of the emergency stop buttons in the hub: OK,,
,,215372,60680835
,Do the test of the emergency stop buttons -135-S1 for the hub control,,
,cabinet.,,
2.11,Do the test of the emergency stop buttons -135-S2 for the hub I/O box.  OK,,
3,Safety equipment,,
3.01,Do a check of the emergency rescue equipment according to the,OK,
,checklist in the rescue box.,,
3.02,Examine the fire extinguishers.                                                                  OK,,
3.03,Note the date for the next inspection of the fire extinguishers. Date of,,06/2024
,inspection:,,
3.04,Service technician’s initials:,,
,,,Not Applicable
3.05,Do a check of the first-aid kits according to the procedure mentioned in,OK,
,the manual supplied along with the first-aid kits.,,
3.06,Fall arrest equipment (rail): Visually examine the fall protection rail and,OK,
,"the ladder for dents, holes, and cracks.",,
3.07,Examine all the bolts on the fall protection rail.                                         OK,,
3.08,Fall arrest equipment (wire): Examine the safety cable.                            OK,,
3.09,Examine the bottom bracket.                                                                     OK,,
3.10,"Examine the ladder, the cable, and the cable guides.                               OK",,
3.11,Examine the top bracket.                                                                           OK,,
3.12,"Do a check of the anchor points in the tower, nacelle, inside nacelle roof",OK,
