0,1,2,3
Service Inspection Form,,,
0010,C - Service 1 Year,,
0,eSIF,,
0.01,0. DMS: 0057-9101 V08,,
14,To examine the fan for the cooling syste,,
14.01,Listen for any dissonance from the fan.                                                     OK,,
14.02,"Do an inspection of the fan for signs of wear and tear (surface, fixture,",OK,
,"plug, and bolts).",,
14.03,Examine for leakage between the fan and the air distribution box.           OK,,
14.04,Clean the fan and the surroundings for dirt and dust.                                OK,,
15,Switchgear,,
15.01,To examine the voltage presence indicator system (VPIS/VDS):,OK,
,Examine that the VPIS/VDS on the CBP and on all the SDPs work.,,
15.02,To examine the SF6 pressure level: Examine the SF6 pressure level.     OK,,
15.03,To examine the circuit breaker operation counter: Do a check of the,OK,
,circuit breaker operation counter.,,
15.04,To examine the protection relay: Examine the protection relay internally.OK,,
15.05,To inspect the HV cable in the basement: Do a check of the HV cable,OK,
,for all the visible damage caused by wear and tear.,,
15.06,To prepare the HV switchgear for the trip test: Make sure that the HV,OK,
,switchgear is prepared for the trip test.,,
15.07,To test the trip and blocking function on the switchgear: Do a check to,OK,
,make sure that the WTG Trip signal lamp on the switchgear CBP is lit,,
,(red) and that the switchgear trips.,,
,,243679,61114030
15.08,Make sure that the circuit breaker does not close.                                    OK,,
15.09,Do a check to make sure that the WTG Trip signal lamp on the,OK,
,switchgear CBP is lit (red).,,
15.10,To examine the HV switchgear functions: Examine the functions of the,OK,
,HV switchgear (ABB or Ormazabal).,,
15.11,To do the inspection for water condensation: Do an inspection for water,OK,
,condensation inside the LV compartment.,,
15.12,State the average condensation condition of all panels: No visible,OK,
,condensation,,
15.13,State the average condensation condition of all panels: Visible,,
,condensation,,
,,,Not Applicable
15.14,State the average condensation condition of all panels: Heavy,,
,condensation,,
,,,Not Applicable
15.15,To inspect for corrosion: Do an inspection for corrosion inside the LV,OK,
,compartment.,,
15.16,State the average corrosion condition of all the panels: No visible,OK,
,corrosion,,
15.17,State the average corrosion condition of all the panels: Beginning,,
,corrosion,,
,,,Not Applicable
15.18,State the average corrosion condition of all the panels: Moderate,,
