0,1,2,3
Service Inspection Form,,,
0010,1 Year Service,,
0,eSIF,,
0.01,0. DMS: 0042-4218 V32,,
1,Prepare for service,,
1.01,Do a check of the warning log.                                                                   OK,,
1.02,Tightening torque.                                                                                      OK,,
2,Functional safety test,,
2.01,Tower: Do a test of the emergency stop function from the tower.             OK,,
2.02,To do a test of the emergency stop buttons in the tower: Do the test of,OK,
,the emergency stop buttons -610-02-S1 for the tower control cabinet.,,
2.03,Do the test of the emergency stop buttons -610-02-S6A for the tower,OK,
,top in the tower.,,
2.04,Do the test of the emergency stop buttons -610-02-S6B for the tower,OK,
,top in the tower.,,
2.05,Nacelle: Do a test to see if the emergency stop activates the brake.        OK,,
2.06,To do a test of the emergency stop buttons in the nacelle: Do the test of,OK,
,the emergency stop buttons -610-02-S3 for the yaw control cabinet.,,
2.07,Do the test of the emergency stop buttons -610-02-S4 for the main shaft,OK,
,(LSS).,,
2.08,Do the test of the emergency stop buttons -610-02-S5 for the nacelle,OK,
,control cabinet.,,
2.09,Do a check of the vibration sensor.                                                            OK,,
2.10,Hub and blades: To do a test of the emergency stop buttons in the hub: OK,,
,,243679,
,Do the test of the emergency stop buttons -135-S1 for the hub control,,
,cabinet.,,
2.11,Do the test of the emergency stop buttons -135-S2 for the hub I/O box.  OK,,
3,Safety equipment,,
3.01,Do a check of the emergency rescue equipment according to the,OK,
,checklist in the rescue box.,,
3.02,Examine the fire extinguishers.                                                                  OK,,
3.03,Note the date for the next inspection of the fire extinguishers. Date of,,10/2024
,inspection:,,
3.04,Service technician’s initials:,,JUBOL
3.05,Do a check of the first-aid kits according to the procedure mentioned in,OK,
,the manual supplied along with the first-aid kits.,,
3.06,Fall arrest equipment (rail): Visually examine the fall protection rail and,OK,
,"the ladder for dents, holes, and cracks.",,
3.07,Examine all the bolts on the fall protection rail.                                         OK,,
3.08,Fall arrest equipment (wire): Examine the safety cable.                            OK,,
3.09,Examine the bottom bracket.                                                                     OK,,
3.10,"Examine the ladder, the cable, and the cable guides.                               OK",,
3.11,Examine the top bracket.                                                                           OK,,
3.12,"Do a check of the anchor points in the tower, nacelle, inside nacelle roof",OK,
,and hub.,,
4,Rotor,,
4.01,Hub: ++05 Hub control cabinet: Do a check of the heating element.        OK,,
4.02,Visually check the hub control cabinet and the support brackets for,OK,
,loose bolts or cracks in the brackets.,,
4.03,Do a test of the RCCB in the hub controller.                                              OK,,
4.04,Replace the 12 V backup battery in the ++05 hub control cabinet.           OK,,
4.05,Visually examine the 12 V batteries for leakage.                                       OK,,
4.06,Hub cover: Do a check of the fibreglass connections for loose bolts.       OK,,
4.07,Examine the nose cone for cracks in the fibreglass around the bolted,OK,
,connections.,,
4.08,Blade bearing: Do a check of the blade bearing seals for leakage.           OK,,
4.09,Semi-automatic lubrication system: To check the grease hoses: Do a,OK,
,check of the grease hoses for cracks and wear.,,
4.10,Do a check of the grease hoses and their attachments for tightness.       OK,,
4.11,Do a check of the grease distribution block assembly and its attachment,OK,
,for tightness.,,
4.12,Do a check of the grease collecting cans.                                                 OK,,
4.13,Lubricate the blade bearings.                                                                     OK,,
4.14,Blades: Examine the blades.                                                                     OK,,
4.15,Do a check of the blade collar.                                                                   OK,,
4.16,Do an internal inspection of the structural shell blade.                              OK,,
4.17,Do a check of the LCTU.                                                                            OK,,
4.18,Pitch system: Do a visual check to make sure that the blade pitch lock is,OK,
,activated.,,
4.19,Visually examine the hub for leakage.                                                       OK,,
4.20,Do a check of the nitrogen pre-charge pressure in the pitch,OK,
,accumulators.,,
4.21,,"Measured value:                                                                                         105,000",bar
4.22,,"New value after adjustment:                                                                      110,000",bar
4.23,,"Measured value:                                                                                         106,000",bar
4.24,,"New value after adjustment:                                                                      110,000",bar
4.25,,"Measured value:                                                                                         106,000",bar
4.26,,"New value after adjustment:                                                                      110,000",bar
4.27,,"Measured value:                                                                                         107,000",bar
4.28,,"New value after adjustment:                                                                      110,000",bar
4.29,To do a check of the cylinder holder bolts: Do a check of every second,,
,stud bolt on each pitch suspension arm and legs.,,
,,,Not Applicable
4.30,Torque:,,KN
,,,Not Applicable
4.31,Do a check of all the bolts in the rod-end flange.,,
,,,Not Applicable
4.32,Torque,,Nm
,,,Not Applicable
4.33,Do a check for the loose bolts in the wedge for automatic blade lock in,OK,
,all 3 blades.,,
4.34,Do a check of the hydraulic cylinder piston rod for wear and damage.     OK,,
4.35,Do a check of the rod-protection covers on the piston rods for tear and,OK,
,holes,,
4.36,To do a check of the slide bushings for the cylinders: Do a visual and,OK,
,audio inspection of the axial clearance.,,
4.37,To do a check of the clearance in the bearing between the torque arm,OK,
,shaft and the hydraulic cylinder: Do a visual and audio inspection of the,,
,radial clearance.,,
5,Hydraulic systems,,
5.01,"Nacelle hydraulics: Examine the hoses, the seals, the connections in",OK,
,"the nacelle, the main shaft, the hydraulic pump for hydraulic oil leakage.",,
5.02,Examine the hydraulic oil level.                                                                  OK,,
5.03,Extract a sample of the hydraulic oil.                                                         OK,,
5.04,Replace the air breather filter element.                                                      OK,,
5.05,Brake system: Do a test of the brake.                                                        OK,,
5.06,To do a visual inspection of the brake callipers: Do a visual inspection of,OK,
,the brake callipers for cracks and other damage.,,
5.07,"Do the visual inspection of the brake callipers, the pipes, and the hoses",OK,
,for oil leakage.,,
5.08,Visually examine all the hydraulic piping inlets and outlets.                      OK,,
5.09,Do a check of the brake pads for thickness of the brake lining.                OK,,
5.10,Do a check to make sure that the wiring to the brake wear and heat,OK,
,sensors in the brake pads is not damaged.,,
6,Gearbox and gear oil system,,
6.01,Gearbox: Do a check of the gear oil level.                                                 OK,,
6.02,"Do a check of the joints, seals (pitch tube, input shaft, and output shaft)",OK,
,"and covers (including split line, ring gear flange on the rotor end side,",,
,,243679,61114029
,and non-rotor end side) for leakage.,,
6.03,Do an inspection of the gearbox for debris.                                               OK,,
6.04,Extract the gear oil sample.                                                                       OK,,
6.05,Replace the filter cartridge in the air filter housing.                                    OK,,
6.06,Gear oil system: Do a visual inspection of the gear oil hoses for damage,OK,
,or leakage.,,
6.07,Replace the offline filter and the O-rings in the gearbox.                           OK,,
6.08,"Visually examine all the fittings, components on the filter block, and the",OK,
,pumps for leakage.,,
6.09,Main shaft arrangement: Examine the bearing for unusual noise.            OK,,
6.10,To lubricate the main bearings: Lubricate the main bearing without an,OK,
,automatic grease lubrication system.,,
6.11,Lubricate the main bearing with an automatic grease lubrication system.OK,,
6.12,Do a check and adjust the LSS or RPM sensors.                                      OK,,
6.13,To examine the rotor locking pins: Do a visual inspection of the rotor,OK,
,locking pins and the rotor lock disc holes for damage.,,
6.14,Lubricate the rotor locking pins.                                                                 OK,,
6.15,Torque arm system: Do a check of the 4 bolts in the integrated torque,,
,arm or gear connection on each side.,,
,,,Not Applicable
6.16,Torque:,,Nm
,,,Not Applicable
6.17,Pressure:,,bar
,,243679,
6.18,Do a check of both the integrated torque arms for visible cracks.             OK,,
6.19,Do a check of the upper and the lower rubber vibration elements or,OK,
,rubber dampers for visible cracks on both the torque arms.,,
6.20,Do a check for play in the vibration elements or the rubber dampers.      OK,,
6.21,Visually examine to make sure that the earthing cables that connects,OK,
,the gearbox and main foundation not damaged.,,
7,Generator and coupling,,
7.01,Generator: Do a check of the bearings for unusual noise.                        OK,,
7.02,Do a check of the automatic lubrication system.                                       OK,,
7.03,Do a check to see if the grease return pipe is blocked.                             OK,,
7.04,Do a check of the lubrication pump for tightness.                                      OK,,
7.05,Do a check of the power slip ring system.                                                 OK,,
7.06,Measure all ground brushes:                                                                     OK,,
7.07,,"Ground brush – 1:                                                                                      67,000",mm
7.08,,"Ground brush – 2                                                                                       66,000",mm
7.09,,"Ground brush – 3                                                                                       66,000",mm
7.10,,"Ground brush – 4:                                                                                      65,000",mm
7.11,,"Ground brush – 5:                                                                                      66,000",mm
7.12,,"Ground brush – 6:                                                                                      65,000",mm
7.13,Do a check of the form and function of the ground brushes.                     OK,,
7.14,Identify the power brush type: Mersen                                                       OK,,
,,243679,61114029
7.15,Identify the power brush type: BGB,,
,,,Not Applicable
7.16,Measure the most worn power brush:                                                        OK,,
7.17,,"Measurement:                                                                                            66,000",mm
