,no,check_item,result
0,Electrical system – Tower base,,
1,1,Check tower base warning systems,3 Not done - Not necessary
2,2,Check software level,1 Done - No defects
3,3,Checking the Industrial Ethernet plug-in,3 Not done - Not necessary
4,4,Check access control,3 Not done - Not necessary
5,5,Testing ice detection system,1 Done - No defects
6,6,Check function of Labkotec ice detection system,3 Not done - Not necessary
7,7,"Measure earth resistance at tower base
Measured values for item 7
Air humidity
Soil condition
Outside temperature
Measurement 1
Measurement 2
Measurement 3
Average value
Orientation of measuring probes
Test set-up with decoiler, 50m (SAP 146596)","1 Done - No defects

dry
dry
25.0 °C
1.6 Ω
1.7 Ω
1.8 Ω
1.7 Ω
D
Yes"
8,8,Measuring blade heating system currents on tower base,3 Not done - Not necessary
9,9,Checking smoke detection system,3 Not done - Not necessary
10,Electrics - External transformer station,,
11,10,Check external transformer station sockets,3 Not done - Not necessary
12,11,Measure insulation resistance of sockets in external transformer station,3 Not done - Not necessary
13,12,Measure the earth resistance of the external transformer station,3 Not done - Not necessary
14,13,Check cooling system of external transformer station transformer,3 Not done - Not necessary
15,14,Check capacitive voltage taps in external transformer station,3 Not done - Not necessary
16,15,Check external transformer station transformer room,3 Not done - Not necessary
17,16,Check ENERCON transformer protection on external transformer station,3 Not done - Not necessary
18,17,Perform visual inspection of transformer in external transformer station,3 Not done - Not necessary
19,18,Take oil sample from external transformer station,3 Not done - Not necessary
20,19,Check external transformer station’s mediumvoltage switchgear,3 Not done - Not necessary
21,20,Check medium-voltage switchgear external transformer station every 4 years,3 Not done - Not necessary
22,21,Check HV HRC fuse on external transformer station,3 Not done - Not necessary
23,22,Check external transformer station’s low-voltage distribution system,3 Not done - Not necessary
24,23,Terminal lugs – check low-voltage distribution system of external transformer station,3 Not done - Not necessary
25,24,Check external transformer station basement,3 Not done - Not necessary
26,25,Checking the external transformer station UPS,3 Not done - Not necessary
27,Electrics - WEC medium voltage area,,
28,26,Checking the capacitive voltage taps,1 Done - No defects
29,27,Checking the ENERCON transformer protection system,1 Done - No defects
30,28,Checking the smoke detectors in the transformer room,3 Not done - Not necessary
31,29,Checking the transformer room,1 Done - No defects
32,30,Visually inspect the transformer,1 Done - No defects
33,31,Taking and oil sample,3 Not done - Not necessary
34,32,Checking medium-voltage switchgear,1 Done - No defects
35,33,Checking the medium-voltage switchgear every 4 years,1 Done - No defects
36,34,Checking HV HRC fuses,3 Not done - Not necessary
37,35,Checking the low-voltage distribution system,3 Not done - Not necessary
38,36,Checking LV distribution system fans,3 Not done - Not necessary
39,37,Checking low-voltage distribution system terminal lugs,3 Not done - Not necessary
40,38,Checking the terminal lugs for the secondary systems cabinet,3 Not done - Not necessary
41,39,Checking control cabinet terminal lugs,1 Done - No defects
42,40,Checking UPS terminal lugs,1 Done - No defects
43,41,Checking NH1 fuse switch disconnector terminal lugs,3 Not done - Not necessary
44,42,Checking the foundation basement,1 Done - No defects
45,43,Checking AC busbar system V3,1 Done - No defects
46,Electrical system – Tower base,,
