,Metadata
Serial number,826
Project number,S-07925-
Site,Dizy-
WEC,E-82 E2
Control system type,CS82a
Order type,4-YEARLY MAINTENANCE
Order number,940068
Final date of order completion,"Jul 12, 2024"
Completion date of report,"Jul 12, 2024"
Inspection lot number,94000390
Document number,D084 7.0
Nominated person in control of the,
electrical installation during work,
activities,
Nominated person in control of the,
work activity,
Performing team,T101 SST
Performing company,ENERCON SERVICE FRANCE EST
Free of defects,294
With defects,1
Total,295
