,Metadata
Serial number,921
Project number,S-07925
Site,Dizy-
WEC,E-92
Control system type,CS8
Order type,MASTER MAINTENANCE
Order number,9912
Final date of order completion,"Dec 8, 2023"
Completion date of report,"Dec 6, 2023"
Inspection lot number,94000351
Document number,D084 6.0
Nominated person in control of the electrical installation during work activities,
Nominated person in control of the work activity,
Performing team,Team1 ESG FR
Performing company,ESG Energy Service Group Sarl
Free of defects,196
With defects,20
Total,216
