,no,check_item,result
2,0,eSIF,
3,0.01,0. DMS: 0093-0083 V03,
4,1,Safety,
5,1.01,Two persons present.,OK
6,1.02,Trained in and aware of the contents of the Vestas Corporate OH and S Manual including ‘Working with Hazardous Materials’ and Safety Regulations for Operators and Technicians.,OK
9,1.03,"Be sure to know the general recommendations regarding the following points: For safety reasons, note the location of the emergency stop buttons. Please refer to documentation “Safety Regulations for Operators and Technicians” of the corresponding turbine platform.",OK
13,1.04,Locking of rotor/blades.,OK
14,1.05,Hearing protection.,OK
15,1.06,Hydraulic tools.,OK
16,2,Article 16,
17,2.01,Check that wind turbine is clean. Check that nocombustible or inflammable material is stored inside the wind turbine.,OK
19,2.02,L'intérieur de l'aérogénérateur est maintenu propre. L'entreposage à l'intérieur de l'aérogénérateur de matériaux combustibles ou inflammables est interdit.,OK
22,2.03,Remarks: (as a comment),Not Applicable
24,3,Article 17,
25,3.01,Verify Stop Button is working properly.,OK
26,3.02,"Suivant une périodicité qui ne peut excéder 1 an, l'exploitant réalise des tests pour vérifier l'état fonctionnel des équipements de mise à l'arrêt en application des préconisations du constructeur de l'aérogénérateur.",OK
29,3.03,Verify Emergency Stop Button is working properly.,OK
30,3.04,"Suivant une périodicité qui ne peut excéder 1 an, l'exploitant réalise des tests pour vérifier l'état fonctionnel des équipements de mise à l'arrêt d'urgence en application des préconisations du constructeur de l'aérogénérateur.",OK
34,3.05,Perform a VOG Test based on relevant platform SWI.,Not Applicable
36,3.06,"Suivant une périodicité qui ne peut excéder 1 an, l'exploitant réalise des tests pour vérifier l'état fonctionnel des équipements de mise à l'arrêt depuis un régime de survitesse en application des préconisations du constructeur de l'aérogénérateur",OK
40,3.07,Remarks: (as a comment),Not Applicable
42,4,Article 18 III,
43,4.01,"Contrôle des systèmes instrumentés de sécurité: Selon une fréquence qui ne peut excéder un an, l’exploitant procède au contrôle de ces équipements de sécurités afin de s’assurer de leur bon fonctionnement.",OK
46,4.02,Control of UPS,OK
47,4.03,Contrôle du bon fonctionnement de l’onduleur,OK
48,4.04,Control of correct condition (absence of leakage or damages) and correct behavior of Pitch System.,OK
50,4.05,Contrôle du bon fonctionnement du système d’orientation des pales,OK
51,4.06,Control of good behavior of Smoke Detector systems. Check that log “smoke detected” is registered in turbine controller (see operation log menu),OK
54,4.07,"Si installés, contrôle du bon fonctionnement des détecteurs de fumée",OK
55,4.08,Remarks: (as a comment),Not Applicable
