,no,check_item,result
1,Serv,ice Inspection Form,
2,0010,2 Year Service,
3,0020,Torque works $ST_COVERWIND,
4,0,eSIF,
5,0.01,0. DMS: 0042-4218 V30,
6,1,Prepare for service,
7,1.01,"Do a check of
the warning log.",OK
8,1.02,Tightening torque.,OK
9,2,Functional safety test,
10,2.01,Tower: Do a test of the emergency stop function from the tower.,OK
11,2.02,"To do a test of
the emergency stop buttons in the tower: Do the test of the emergency stop buttons -610-02-S1 for the tower control cabinet.",OK
13,2.03,"Do the test of
the emergency stop buttons -610-02-S6A for the tower top in the tower.",OK
15,2.04,"Do the test of
the emergency stop buttons -610-02-S6B for the tower top in the tower.",OK
17,2.05,"Nacelle: Do a test to see if
the emergency stop activates the brake.",OK
18,2.06,"To do a test of the emergency stop buttons in the nacelle: Do the test of
the emergency stop buttons -610-02-S3 for the yaw control cabinet.",OK
20,2.07,"Do the test of
the emergency stop buttons -610-02-S4 for the main shaft (LSS).",OK
22,2.08,"Do the test of
the emergency stop buttons -610-02-S5 for the nacelle control cabinet.",OK
24,2.09,Do a check of the vibration sensor.,OK
25,2.10,"Hub and blades: To do a test of
the emergency stop buttons in the hub: Do the test of
the emergency stop buttons -135-S1 for the hub control cabinet.",OK
28,2.11,"Do the test of
the emergency stop buttons -135-S2 for the hub I/O box.",OK
29,3,Safety equipment,
30,3.01,"Fall arrest equipment (rail): Visually examine the fall protection rail and the ladder for dents, holes, and cracks.",OK
32,3.02,Examine all the bolts on the fall protection rail.,OK
33,3.03,Fall arrest equipment (wire): Examine the safety cable.,Not Applicable
35,3.04,Examine the bottom bracket.,Not Applicable
37,3.05,"Examine the ladder,
the cable, and the cable guides.",Not Applicable
39,3.06,Examine the top bracket.,Not Applicable
41,4,Rotor,
42,4.01,Hub: ++05 Hub control cabinet: Do a check of the heating element.,OK
43,4.02,Visually check the hub control cabinet and the support brackets for loose bolts or cracks in the brackets.,OK
45,4.03,Do a test of the RCCB in the hub controller.,OK
46,4.04,Replace the 12 V backup battery in the ++05 hub control cabinet.,Parts not available
48,4.05,Visually examine the 12 V batteries for leakage.,OK
49,4.06,"Hub cover: Do a check of
the fibreglass connections for loose bolts.",OK
50,4.07,Examine the nose cone for cracks in the fibreglass around the bolted connections.,OK
52,4.08,"Blade bearing: Do a check of
the blade bearing seals for leakage.",OK
53,4.09,"Semi-automatic lubrication system: To check the grease hoses: Do a check of
the grease hoses for cracks and wear.",OK
55,4.10,"Do a check of
the grease hoses and their attachments for tightness.",OK
56,4.11,"Do a check of the grease distribution block assembly and its attachment
for tightness.",OK
