,no,check_item,result
2,0,eSIF,
3,0.01,0. DMS: 0093-0083 V03,
4,1,Safety,
5,1.01,Two persons present.,OK
6,1.02,Trained in and aware of the contents of the Vestas Corporate OH and S,OK
7,,Manual including ‘Working with Hazardous Materials’ and Safety,
8,,Regulations for Operators and Technicians.,
9,1.03,Be sure to know the general recommendations regarding the following,OK
10,,"points: For safety reasons, note the location of the emergency stop",
11,,buttons. Please refer to documentation “Safety Regulations for,
12,,Operators and Technicians” of the corresponding turbine platform.,
13,1.04,Locking of rotor/blades.,OK
14,1.05,Hearing protection.,OK
15,1.06,Hydraulic tools.,OK
16,2,Article 16 (6-monthly),
17,2.01,Check that wind turbine is clean. Check that nocombustible or,OK
18,,inflammable material is stored inside the wind turbine.,
19,2.02,L'intérieur de l'aérogénérateur est maintenu propre. L'entreposage à,OK
20,,l'intérieur de l'aérogénérateur de matériaux combustibles ou,
21,,inflammables est interdit.,
22,2.03,Remarks: (as a comment),
23,,,Not Applicable
24,3,Article 18 I,
25,3.01,Control of all mechanical connections between blade and blade bearing,OK
26,,"based on relevant platform SII, SIF, SWI.",
27,3.02,Contrôle de l’ensemble des brides de fixations et de la fixation des,OK
28,,pales: Contrôle de l’ensemble des brides de fixations entre la pale et le,
29,,roulement de pale.,
30,3.03,Control of all mechanical connections between blade bearing and hub,OK
31,,"based on relevant platform SII, SIF, SWI.",
32,3.04,Contrôle de l’ensemble des brides de fixations entre le moyeu et le,OK
33,,roulement de pale.,
34,3.05,Control of all mechanical connections between hub and Main shaft,
35,,"based on relevant platform SII, SIF, SWI.",
36,,,Not Applicable
37,3.06,Contrôle de l’ensemble des brides de fixations entre l’arbre principal et,OK
38,,le moyeu,
39,3.07,Control of all mechanical connections between Yaw ring and Tower top,OK
40,,"based on relevant platform SII, SIF, SWI.",
41,3.08,Contrôle de l’ensemble des brides de fixations entre la couronne,OK
42,,d’orientation et le mât,
43,3.09,Remarks: (as a comment),
44,,,Not Applicable
45,4,Article 18 I,
46,4.01,Visual Control of Tower.,OK
47,4.02,Contrôle visuel du mât et Contrôle de l’ensemble des brides du mât:,OK
48,,Contrôle visuel du mât de l’aérogénérateur,
49,4.03,Control of all Tower flanges and Foundation mechanical connections,OK
50,,"based on relevant platform SII, SIF, SWI.",
51,4.04,Contrôle de l’ensemble des brides du mât,OK
52,4.05,Remarks: (as a comment),
53,,,Not Applicable
54,5,Article 18 II - Contrôle visuel (6-month,
55,5.01,"If under Vestas scope, visual control of blades and external elements",OK
56,,for damages like thunder impact.,
57,5.02,L'exploitant procède à un contrôle visuel des pales et des éléments,OK
58,,"susceptibles d'être endommagés, notamment par des impacts de",
59,,foudre.,
60,5.03,"Remarks, precise who made the vestas control (Vestas or another",
61,,company): (as a comment),
62,,,Not Applicable
